case,event,startTime,completeTime
21,G,2019/01/10 16:51:23.953,2019/01/10 16:51:23.953
16,F,2019/01/10 16:56:27.963,2019/01/10 16:56:27.963
22,A,2019/01/10 16:56:53.544,2019/01/10 16:56:53.544
19,I,2019/01/10 16:57:45.270,2019/01/10 16:57:45.270
27,A,2019/01/10 17:00:00.000,2019/01/10 17:00:00.000
24,C,2019/01/10 17:00:06.540,2019/01/10 17:00:06.540
18,J,2019/01/10 17:03:03.140,2019/01/10 17:03:03.140
12,G,2019/01/10 17:04:07.118,2019/01/10 17:04:07.118
17,G,2019/01/10 17:05:30.687,2019/01/10 17:05:30.687
23,E,2019/01/10 17:06:47.207,2019/01/10 17:06:47.207
26,F,2019/01/10 17:12:06.694,2019/01/10 17:12:06.694
9,O,2019/01/10 17:13:04.607,2019/01/10 17:13:04.607
25,D,2019/01/10 17:14:34.906,2019/01/10 17:14:34.906
28,A,2019/01/10 17:20:00.000,2019/01/10 17:20:00.000
16,D,2019/01/10 17:21:50.066,2019/01/10 17:21:50.066
20,C,2019/01/10 17:22:45.836,2019/01/10 17:22:45.836
14,O,2019/01/10 17:23:11.096,2019/01/10 17:23:11.096
21,I,2019/01/10 17:23:48.214,2019/01/10 17:23:48.214
22,F,2019/01/10 17:23:52.550,2019/01/10 17:23:52.550
27,F,2019/01/10 17:26:30.831,2019/01/10 17:26:30.831
24,A,2019/01/10 17:28:52.468,2019/01/10 17:28:52.468
19,J,2019/01/10 17:30:57.642,2019/01/10 17:30:57.642
17,I,2019/01/10 17:33:06.437,2019/01/10 17:33:06.437
18,L,2019/01/10 17:33:11.254,2019/01/10 17:33:11.254
12,H,2019/01/10 17:36:05.295,2019/01/10 17:36:05.295
23,G,2019/01/10 17:36:18.317,2019/01/10 17:36:18.317
26,D,2019/01/10 17:39:07.199,2019/01/10 17:39:07.199
29,A,2019/01/10 17:40:00.000,2019/01/10 17:40:00.000
25,E,2019/01/10 17:41:40.020,2019/01/10 17:41:40.020
28,F,2019/01/10 17:42:53.579,2019/01/10 17:42:53.579
22,D,2019/01/10 17:50:50.270,2019/01/10 17:50:50.270
21,J,2019/01/10 17:52:20.905,2019/01/10 17:52:20.905
16,E,2019/01/10 17:54:58.823,2019/01/10 17:54:58.823
20,A,2019/01/10 17:55:25.638,2019/01/10 17:55:25.638
24,B,2019/01/10 17:58:47.647,2019/01/10 17:58:47.647
30,A,2019/01/10 18:00:00.000,2019/01/10 18:00:00.000
27,D,2019/01/10 18:00:03.768,2019/01/10 18:00:03.768
19,K,2019/01/10 18:01:46.245,2019/01/10 18:01:46.245
17,J,2019/01/10 18:03:48.102,2019/01/10 18:03:48.102
18,M,2019/01/10 18:04:34.330,2019/01/10 18:04:34.330
23,I,2019/01/10 18:08:36.501,2019/01/10 18:08:36.501
29,F,2019/01/10 18:08:51.797,2019/01/10 18:08:51.797
26,E,2019/01/10 18:09:56.872,2019/01/10 18:09:56.872
25,G,2019/01/10 18:11:40.702,2019/01/10 18:11:40.702
28,D,2019/01/10 18:18:14.078,2019/01/10 18:18:14.078
31,A,2019/01/10 18:20:00.000,2019/01/10 18:20:00.000
22,E,2019/01/10 18:21:07.512,2019/01/10 18:21:07.512
16,G,2019/01/10 18:21:56.283,2019/01/10 18:21:56.283
20,F,2019/01/10 18:24:31.607,2019/01/10 18:24:31.607
27,E,2019/01/10 18:26:40.430,2019/01/10 18:26:40.430
30,F,2019/01/10 18:27:41.744,2019/01/10 18:27:41.744
18,N,2019/01/10 18:29:37.295,2019/01/10 18:29:37.295
19,M,2019/01/10 18:31:04.867,2019/01/10 18:31:04.867
21,K,2019/01/10 18:31:05.205,2019/01/10 18:31:05.205
24,C,2019/01/10 18:31:58.716,2019/01/10 18:31:58.716
17,K,2019/01/10 18:33:44.567,2019/01/10 18:33:44.567
23,J,2019/01/10 18:33:54.732,2019/01/10 18:33:54.732
26,G,2019/01/10 18:35:41.361,2019/01/10 18:35:41.361
32,A,2019/01/10 18:40:00.000,2019/01/10 18:40:00.000
29,D,2019/01/10 18:41:41.790,2019/01/10 18:41:41.790
25,H,2019/01/10 18:42:43.945,2019/01/10 18:42:43.945
16,H,2019/01/10 18:46:37.626,2019/01/10 18:46:37.626
28,E,2019/01/10 18:49:48.641,2019/01/10 18:49:48.641
31,B,2019/01/10 18:50:27.413,2019/01/10 18:50:27.413
22,G,2019/01/10 18:51:14.803,2019/01/10 18:51:14.803
20,D,2019/01/10 18:54:51.273,2019/01/10 18:54:51.273
30,D,2019/01/10 18:56:00.933,2019/01/10 18:56:00.933
27,G,2019/01/10 18:59:15.646,2019/01/10 18:59:15.646
33,A,2019/01/10 19:00:00.000,2019/01/10 19:00:00.000
23,L,2019/01/10 19:02:03.829,2019/01/10 19:02:03.829
24,A,2019/01/10 19:02:26.028,2019/01/10 19:02:26.028
21,M,2019/01/10 19:02:52.081,2019/01/10 19:02:52.081
19,N,2019/01/10 19:03:16.488,2019/01/10 19:03:16.488
29,E,2019/01/10 19:06:18.475,2019/01/10 19:06:18.475
26,H,2019/01/10 19:06:51.160,2019/01/10 19:06:51.160
17,M,2019/01/10 19:07:45.815,2019/01/10 19:07:45.815
32,B,2019/01/10 19:11:29.679,2019/01/10 19:11:29.679
31,C,2019/01/10 19:17:11.223,2019/01/10 19:17:11.223
22,H,2019/01/10 19:17:59.008,2019/01/10 19:17:59.008
34,A,2019/01/10 19:20:00.000,2019/01/10 19:20:00.000
28,G,2019/01/10 19:24:02.293,2019/01/10 19:24:02.293
20,E,2019/01/10 19:25:36.568,2019/01/10 19:25:36.568
30,E,2019/01/10 19:27:25.261,2019/01/10 19:27:25.261
21,N,2019/01/10 19:27:45.052,2019/01/10 19:27:45.052
27,I,2019/01/10 19:28:19.616,2019/01/10 19:28:19.616
33,B,2019/01/10 19:32:14.197,2019/01/10 19:32:14.197
17,N,2019/01/10 19:32:36.980,2019/01/10 19:32:36.980
23,M,2019/01/10 19:33:07.673,2019/01/10 19:33:07.673
24,B,2019/01/10 19:33:31.669,2019/01/10 19:33:31.669
29,G,2019/01/10 19:39:48.557,2019/01/10 19:39:48.557
35,A,2019/01/10 19:40:00.000,2019/01/10 19:40:00.000
32,C,2019/01/10 19:40:07.875,2019/01/10 19:40:07.875
31,A,2019/01/10 19:49:51.209,2019/01/10 19:49:51.209
34,B,2019/01/10 19:50:51.836,2019/01/10 19:50:51.836
28,I,2019/01/10 19:52:22.603,2019/01/10 19:52:22.603
20,G,2019/01/10 19:55:54.536,2019/01/10 19:55:54.536
27,J,2019/01/10 19:59:09.781,2019/01/10 19:59:09.781
36,A,2019/01/10 20:00:00.000,2019/01/10 20:00:00.000
33,C,2019/01/10 20:00:42.403,2019/01/10 20:00:42.403
30,G,2019/01/10 20:01:17.758,2019/01/10 20:01:17.758
24,C,2019/01/10 20:04:38.161,2019/01/10 20:04:38.161
23,N,2019/01/10 20:04:50.667,2019/01/10 20:04:50.667
35,B,2019/01/10 20:07:53.748,2019/01/10 20:07:53.748
29,I,2019/01/10 20:08:24.958,2019/01/10 20:08:24.958
32,A,2019/01/10 20:10:25.004,2019/01/10 20:10:25.004
37,A,2019/01/10 20:20:00.000,2019/01/10 20:20:00.000
31,B,2019/01/10 20:20:03.161,2019/01/10 20:20:03.161
34,C,2019/01/10 20:25:03.708,2019/01/10 20:25:03.708
28,J,2019/01/10 20:25:09.296,2019/01/10 20:25:09.296
36,B,2019/01/10 20:26:07.272,2019/01/10 20:26:07.272
20,I,2019/01/10 20:29:01.210,2019/01/10 20:29:01.210
27,K,2019/01/10 20:30:21.545,2019/01/10 20:30:21.545
33,A,2019/01/10 20:30:28.107,2019/01/10 20:30:28.107
30,H,2019/01/10 20:34:06.644,2019/01/10 20:34:06.644
24,A,2019/01/10 20:37:09.252,2019/01/10 20:37:09.252
35,C,2019/01/10 20:38:45.604,2019/01/10 20:38:45.604
29,J,2019/01/10 20:38:55.968,2019/01/10 20:38:55.968
38,A,2019/01/10 20:40:00.000,2019/01/10 20:40:00.000
32,F,2019/01/10 20:45:33.344,2019/01/10 20:45:33.344
31,C,2019/01/10 20:46:32.030,2019/01/10 20:46:32.030
37,B,2019/01/10 20:50:42.922,2019/01/10 20:50:42.922
28,K,2019/01/10 20:56:21.952,2019/01/10 20:56:21.952
34,A,2019/01/10 20:59:12.848,2019/01/10 20:59:12.848
24,B,2019/01/10 20:59:46.953,2019/01/10 20:59:46.953
36,C,2019/01/10 20:59:52.828,2019/01/10 20:59:52.828
39,A,2019/01/10 21:00:00.000,2019/01/10 21:00:00.000
27,M,2019/01/10 21:00:02.870,2019/01/10 21:00:02.870
33,B,2019/01/10 21:00:04.727,2019/01/10 21:00:04.727
20,J,2019/01/10 21:01:46.451,2019/01/10 21:01:46.451
35,A,2019/01/10 21:07:29.461,2019/01/10 21:07:29.461
38,F,2019/01/10 21:09:18.584,2019/01/10 21:09:18.584
29,K,2019/01/10 21:13:26.104,2019/01/10 21:13:26.104
31,A,2019/01/10 21:14:43.785,2019/01/10 21:14:43.785
37,C,2019/01/10 21:19:59.227,2019/01/10 21:19:59.227
40,A,2019/01/10 21:20:00.000,2019/01/10 21:20:00.000
32,D,2019/01/10 21:21:05.624,2019/01/10 21:21:05.624
28,M,2019/01/10 21:25:19.707,2019/01/10 21:25:19.707
27,N,2019/01/10 21:26:08.471,2019/01/10 21:26:08.471
34,F,2019/01/10 21:26:50.616,2019/01/10 21:26:50.616
39,B,2019/01/10 21:27:58.326,2019/01/10 21:27:58.326
24,C,2019/01/10 21:28:28.072,2019/01/10 21:28:28.072
20,K,2019/01/10 21:32:05.224,2019/01/10 21:32:05.224
36,A,2019/01/10 21:32:47.079,2019/01/10 21:32:47.079
33,C,2019/01/10 21:34:44.891,2019/01/10 21:34:44.891
35,B,2019/01/10 21:36:27.171,2019/01/10 21:36:27.171
41,A,2019/01/10 21:40:00.000,2019/01/10 21:40:00.000
38,D,2019/01/10 21:40:35.909,2019/01/10 21:40:35.909
29,M,2019/01/10 21:44:18.922,2019/01/10 21:44:18.922
31,F,2019/01/10 21:48:06.991,2019/01/10 21:48:06.991
40,F,2019/01/10 21:48:16.990,2019/01/10 21:48:16.990
32,E,2019/01/10 21:49:05.177,2019/01/10 21:49:05.177
37,A,2019/01/10 21:50:15.828,2019/01/10 21:50:15.828
28,N,2019/01/10 21:53:37.010,2019/01/10 21:53:37.010
24,A,2019/01/10 21:55:38.631,2019/01/10 21:55:38.631
39,C,2019/01/10 21:58:48.551,2019/01/10 21:58:48.551
34,D,2019/01/10 21:59:10.772,2019/01/10 21:59:10.772
42,A,2019/01/10 22:00:00.000,2019/01/10 22:00:00.000
20,M,2019/01/10 22:00:49.186,2019/01/10 22:00:49.186
35,C,2019/01/10 22:03:11.393,2019/01/10 22:03:11.393
36,B,2019/01/10 22:03:21.745,2019/01/10 22:03:21.745
33,A,2019/01/10 22:04:04.887,2019/01/10 22:04:04.887
38,E,2019/01/10 22:09:02.807,2019/01/10 22:09:02.807
41,F,2019/01/10 22:09:53.491,2019/01/10 22:09:53.491
29,N,2019/01/10 22:15:30.244,2019/01/10 22:15:30.244
31,D,2019/01/10 22:16:00.069,2019/01/10 22:16:00.069
43,A,2019/01/10 22:20:00.000,2019/01/10 22:20:00.000
37,F,2019/01/10 22:20:43.288,2019/01/10 22:20:43.288
32,G,2019/01/10 22:20:44.812,2019/01/10 22:20:44.812
24,F,2019/01/10 22:22:59.038,2019/01/10 22:22:59.038
40,D,2019/01/10 22:23:56.822,2019/01/10 22:23:56.822
20,O,2019/01/10 22:27:24.585,2019/01/10 22:27:24.585
35,A,2019/01/10 22:28:17.763,2019/01/10 22:28:17.763
42,B,2019/01/10 22:31:09.144,2019/01/10 22:31:09.144
36,C,2019/01/10 22:31:59.888,2019/01/10 22:31:59.888
39,A,2019/01/10 22:32:48.909,2019/01/10 22:32:48.909
33,F,2019/01/10 22:33:35.071,2019/01/10 22:33:35.071
34,E,2019/01/10 22:34:40.401,2019/01/10 22:34:40.401
41,D,2019/01/10 22:36:51.159,2019/01/10 22:36:51.159
38,G,2019/01/10 22:38:58.743,2019/01/10 22:38:58.743
44,A,2019/01/10 22:40:00.000,2019/01/10 22:40:00.000
31,E,2019/01/10 22:41:38.813,2019/01/10 22:41:38.813
24,D,2019/01/10 22:49:12.316,2019/01/10 22:49:12.316
32,I,2019/01/10 22:49:46.602,2019/01/10 22:49:46.602
43,F,2019/01/10 22:50:00.062,2019/01/10 22:50:00.062
37,D,2019/01/10 22:51:19.542,2019/01/10 22:51:19.542
40,E,2019/01/10 22:53:40.093,2019/01/10 22:53:40.093
42,C,2019/01/10 22:58:33.588,2019/01/10 22:58:33.588
45,A,2019/01/10 23:00:00.000,2019/01/10 23:00:00.000
35,B,2019/01/10 23:00:03.719,2019/01/10 23:00:03.719
39,F,2019/01/10 23:01:39.770,2019/01/10 23:01:39.770
33,D,2019/01/10 23:02:26.114,2019/01/10 23:02:26.114
34,G,2019/01/10 23:02:52.312,2019/01/10 23:02:52.312
38,H,2019/01/10 23:06:35.102,2019/01/10 23:06:35.102
44,B,2019/01/10 23:07:12.612,2019/01/10 23:07:12.612
36,A,2019/01/10 23:07:23.636,2019/01/10 23:07:23.636
41,E,2019/01/10 23:07:55.215,2019/01/10 23:07:55.215
31,G,2019/01/10 23:14:05.677,2019/01/10 23:14:05.677
24,E,2019/01/10 23:14:48.994,2019/01/10 23:14:48.994
37,E,2019/01/10 23:18:23.145,2019/01/10 23:18:23.145
43,D,2019/01/10 23:19:17.409,2019/01/10 23:19:17.409
46,A,2019/01/10 23:20:00.000,2019/01/10 23:20:00.000
32,J,2019/01/10 23:20:50.179,2019/01/10 23:20:50.179
40,G,2019/01/10 23:21:35.715,2019/01/10 23:21:35.715
34,H,2019/01/10 23:26:10.028,2019/01/10 23:26:10.028
39,D,2019/01/10 23:27:37.639,2019/01/10 23:27:37.639
45,B,2019/01/10 23:27:49.836,2019/01/10 23:27:49.836
33,E,2019/01/10 23:28:56.104,2019/01/10 23:28:56.104
