case,start,end,timeSpread
17,I,J,1842
17,J,K,1796
17,J,L,N/A
17,K,M,2041
17,L,M,N/A
17,M,N,1491
17,M,O,N/A
18,A,B,N/A
18,A,F,1718
18,B,C,N/A
18,C,A,N/A
18,D,E,1767
18,E,G,1863
18,F,D,1832
18,G,H,N/A
18,G,I,1903
18,I,J,1900
18,J,K,N/A
18,J,L,1808
18,K,M,N/A
18,L,M,1883
18,M,N,1503
18,M,O,N/A
19,A,B,N/A
19,A,F,2228
19,B,C,N/A
19,C,A,N/A
19,D,E,1903
19,E,G,1798
19,F,D,1669
19,G,H,N/A
19,G,I,1868
19,I,J,1992
19,J,K,1849
19,J,L,N/A
19,K,M,1759
19,L,M,N/A
19,M,N,1932
19,M,O,N/A
20,A,B,1768
20,A,F,13472
20,B,C,2005
20,C,A,3773
20,D,E,1845
20,E,G,1818
20,F,D,1820
20,G,H,N/A
20,G,I,1987
20,I,J,1965
20,J,K,1819
20,J,L,N/A
20,K,M,1724
20,L,M,N/A
20,M,N,N/A
20,M,O,1595
21,A,B,N/A
21,A,F,1708
21,B,C,N/A
21,C,A,N/A
21,D,E,1664
21,E,G,1474
21,F,D,1838
21,G,H,N/A
21,G,I,1944
21,I,J,1713
21,J,K,2324
21,J,L,N/A
21,K,M,1907
21,L,M,N/A
21,M,N,1493
21,M,O,N/A
22,A,B,1835
22,A,F,7433
22,B,C,2059
22,C,A,3894
22,D,E,1817
22,E,G,1807
22,F,D,1618
22,G,H,1604
22,G,I,N/A
22,I,J,N/A
22,J,K,N/A
22,J,L,N/A
22,K,M,N/A
22,L,M,N/A
22,M,N,N/A
22,M,O,N/A
23,A,B,N/A
23,A,F,1837
23,B,C,N/A
23,C,A,N/A
23,D,E,1568
23,E,G,1771
23,F,D,1802
23,G,H,N/A
23,G,I,1938
23,I,J,1518
23,J,K,N/A
23,J,L,1689
23,K,M,N/A
23,L,M,1864
23,M,N,1903
23,M,O,N/A
24,A,B,1678
24,A,F,22979
24,B,C,1929
24,C,A,3607
24,D,E,1537
24,E,G,1996
24,F,D,1573
24,G,H,N/A
24,G,I,1979
24,I,J,1764
24,J,K,N/A
24,J,L,1878
24,K,M,N/A
24,L,M,1790
24,M,N,N/A
24,M,O,1976
25,A,B,N/A
25,A,F,1624
25,B,C,N/A
25,C,A,N/A
25,D,E,1625
25,E,G,1801
25,F,D,1651
25,G,H,1863
25,G,I,N/A
25,I,J,N/A
25,J,K,N/A
25,J,L,N/A
25,K,M,N/A
25,L,M,N/A
25,M,N,N/A
25,M,O,N/A
26,A,B,N/A
26,A,F,1927
26,B,C,N/A
26,C,A,N/A
26,D,E,1850
26,E,G,1544
26,F,D,1621
26,G,H,1870
26,G,I,N/A
26,I,J,N/A
26,J,K,N/A
26,J,L,N/A
26,K,M,N/A
26,L,M,N/A
26,M,N,N/A
26,M,O,N/A
27,A,B,N/A
27,A,F,1591
27,B,C,N/A
27,C,A,N/A
27,D,E,1597
27,E,G,1955
27,F,D,2013
27,G,H,N/A
27,G,I,1744
27,I,J,1850
27,J,K,1872
27,J,L,N/A
27,K,M,1781
27,L,M,N/A
27,M,N,1566
27,M,O,N/A
28,A,B,N/A
28,A,F,1374
28,B,C,N/A
28,C,A,N/A
28,D,E,1895
28,E,G,2054
28,F,D,2120
28,G,H,N/A
28,G,I,1700
28,I,J,1967
28,J,K,1873
28,J,L,N/A
28,K,M,1738
28,L,M,N/A
28,M,N,1697
28,M,O,N/A
29,A,B,N/A
29,A,F,1732
29,B,C,N/A
29,C,A,N/A
29,D,E,1477
29,E,G,2010
29,F,D,1970
29,G,H,N/A
29,G,I,1716
29,I,J,1831
29,J,K,2070
29,J,L,N/A
29,K,M,1853
29,L,M,N/A
29,M,N,1871
29,M,O,N/A
30,A,B,N/A
30,A,F,1662
30,B,C,N/A
30,C,A,N/A
30,D,E,1884
30,E,G,2032
30,F,D,1699
30,G,H,1969
30,G,I,N/A
30,I,J,N/A
30,J,K,N/A
30,J,L,N/A
30,K,M,N/A
30,L,M,N/A
30,M,N,N/A
30,M,O,N/A
31,A,B,1827
31,A,F,12487
31,B,C,1604
31,C,A,3431
31,D,E,1539
31,E,G,1947
31,F,D,1673
31,G,H,N/A
31,G,I,1514
31,I,J,1745
31,J,K,N/A
31,J,L,1988
31,K,M,N/A
31,L,M,1650
31,M,N,1583
31,M,O,N/A
32,A,B,1890
32,A,F,7533
32,B,C,1718
32,C,A,3608
32,D,E,1680
32,E,G,1900
32,F,D,2132
32,G,H,N/A
32,G,I,1742
32,I,J,1864
32,J,K,1887
32,J,L,N/A
32,K,M,2059
32,L,M,N/A
32,M,N,1796
32,M,O,N/A
33,A,B,1934
33,A,F,12815
33,B,C,1708
33,C,A,3642
33,D,E,1590
33,E,G,1741
33,F,D,1731
33,G,H,1746
33,G,I,N/A
33,I,J,N/A
33,J,K,N/A
33,J,L,N/A
33,K,M,N/A
33,L,M,N/A
33,M,N,N/A
33,M,O,N/A
34,A,B,1852
34,A,F,7611
34,B,C,2052
34,C,A,3904
34,D,E,2130
34,E,G,1692
34,F,D,1940
34,G,H,1398
34,G,I,N/A
34,I,J,N/A
34,J,K,N/A
34,J,L,N/A
34,K,M,N/A
34,L,M,N/A
34,M,N,N/A
34,M,O,N/A
35,A,B,1674
35,A,F,28311
35,B,C,1852
35,C,A,3526
35,D,E,1471
35,E,G,2115
35,F,D,1944
35,G,H,1622
35,G,I,N/A
35,I,J,N/A
35,J,K,N/A
35,J,L,N/A
35,K,M,N/A
35,L,M,N/A
35,M,N,N/A
35,M,O,N/A
36,A,B,1567
36,A,F,18857
36,B,C,2026
36,C,A,3593
36,D,E,1767
36,E,G,2153
36,F,D,1311
36,G,H,1929
36,G,I,N/A
36,I,J,N/A
36,J,K,N/A
36,J,L,N/A
36,K,M,N/A
36,L,M,N/A
36,M,N,N/A
36,M,O,N/A
37,A,B,1843
37,A,F,7243
37,B,C,1756
37,C,A,3599
37,D,E,1624
37,E,G,1820
37,F,D,1836
37,G,H,1697
37,G,I,N/A
37,I,J,N/A
37,J,K,N/A
37,J,L,N/A
37,K,M,N/A
37,L,M,N/A
37,M,N,N/A
37,M,O,N/A
38,A,B,N/A
38,A,F,1759
38,B,C,N/A
38,C,A,N/A
38,D,E,1707
38,E,G,1796
38,F,D,1877
38,G,H,1656
38,G,I,N/A
38,I,J,N/A
38,J,K,N/A
38,J,L,N/A
38,K,M,N/A
38,L,M,N/A
38,M,N,N/A
38,M,O,N/A
39,A,B,1678
39,A,F,7300
39,B,C,1850
39,C,A,3529
39,D,E,1749
39,E,G,1851
39,F,D,1558
39,G,H,2083
39,G,I,N/A
39,I,J,N/A
39,J,K,N/A
39,J,L,N/A
39,K,M,N/A
39,L,M,N/A
39,M,N,N/A
39,M,O,N/A
40,A,B,N/A
40,A,F,1697
40,B,C,N/A
40,C,A,N/A
40,D,E,1783
40,E,G,1676
40,F,D,2140
40,G,H,1895
40,G,I,N/A
40,I,J,N/A
40,J,K,N/A
40,J,L,N/A
40,K,M,N/A
40,L,M,N/A
40,M,N,N/A
40,M,O,N/A
41,A,B,N/A
41,A,F,1793
41,B,C,N/A
41,C,A,N/A
41,D,E,1864
41,E,G,2037
41,F,D,1618
41,G,H,N/A
41,G,I,1758
41,I,J,1748
41,J,K,N/A
41,J,L,1823
41,K,M,N/A
41,L,M,1574
41,M,N,1674
41,M,O,N/A
42,A,B,1869
42,A,F,12506
42,B,C,1644
42,C,A,3514
42,D,E,1836
42,E,G,1970
42,F,D,1894
42,G,H,N/A
42,G,I,1587
42,I,J,1566
42,J,K,2007
42,J,L,N/A
42,K,M,1802
42,L,M,N/A
42,M,N,N/A
42,M,O,1916
43,A,B,N/A
43,A,F,1800
43,B,C,N/A
43,C,A,N/A
43,D,E,1493
43,E,G,1447
43,F,D,1757
43,G,H,N/A
43,G,I,1896
43,I,J,1499
43,J,K,N/A
43,J,L,1648
43,K,M,N/A
43,L,M,2138
43,M,N,1705
43,M,O,N/A
44,A,B,1633
44,A,F,17304
44,B,C,1833
44,C,A,3466
44,D,E,1675
44,E,G,1839
44,F,D,1829
44,G,H,N/A
44,G,I,1648
44,I,J,1750
44,J,K,N/A
44,J,L,1720
44,K,M,N/A
44,L,M,1942
44,M,N,1886
44,M,O,N/A
45,A,B,1670
45,A,F,6795
45,B,C,1752
45,C,A,3422
45,D,E,1937
45,E,G,1914
45,F,D,1886
45,G,H,N/A
45,G,I,2062
45,I,J,1798
45,J,K,2068
45,J,L,N/A
45,K,M,1410
45,L,M,N/A
45,M,N,N/A
45,M,O,2010
46,A,B,1842
46,A,F,7138
46,B,C,1881
46,C,A,3723
46,D,E,1917
46,E,G,1609
46,F,D,1921
46,G,H,1809
46,G,I,N/A
46,I,J,N/A
46,J,K,N/A
46,J,L,N/A
46,K,M,N/A
46,L,M,N/A
46,M,N,N/A
46,M,O,N/A
47,A,B,N/A
47,A,F,1527
47,B,C,N/A
47,C,A,N/A
47,D,E,1995
47,E,G,1725
47,F,D,1627
47,G,H,N/A
47,G,I,1794
47,I,J,1781
47,J,K,N/A
47,J,L,1786
47,K,M,N/A
47,L,M,1791
47,M,N,N/A
47,M,O,1793
48,A,B,N/A
48,A,F,1821
48,B,C,N/A
48,C,A,N/A
48,D,E,1589
48,E,G,1709
48,F,D,1573
48,G,H,1457
48,G,I,N/A
48,I,J,N/A
48,J,K,N/A
48,J,L,N/A
48,K,M,N/A
48,L,M,N/A
48,M,N,N/A
48,M,O,N/A
49,A,B,N/A
49,A,F,1847
49,B,C,N/A
49,C,A,N/A
49,D,E,1874
49,E,G,1696
49,F,D,1547
49,G,H,1772
49,G,I,N/A
49,I,J,N/A
49,J,K,N/A
49,J,L,N/A
49,K,M,N/A
49,L,M,N/A
49,M,N,N/A
49,M,O,N/A
50,A,B,N/A
50,A,F,302
50,B,C,N/A
50,C,A,N/A
50,D,E,268
50,E,G,243
50,F,D,234
50,G,H,346
50,G,I,N/A
50,I,J,N/A
50,J,K,N/A
50,J,L,N/A
50,K,M,N/A
50,L,M,N/A
50,M,N,N/A
50,M,O,N/A
51,A,B,N/A
51,A,F,292
51,B,C,N/A
51,C,A,N/A
51,D,E,287
51,E,G,273
51,F,D,330
51,G,H,320
51,G,I,N/A
51,I,J,N/A
51,J,K,N/A
51,J,L,N/A
51,K,M,N/A
51,L,M,N/A
51,M,N,N/A
51,M,O,N/A
52,A,B,298
52,A,F,1186
52,B,C,302
52,C,A,601
52,D,E,297
52,E,G,265
52,F,D,311
52,G,H,N/A
52,G,I,363
52,I,J,247
52,J,K,283
52,J,L,N/A
52,K,M,308
52,L,M,N/A
52,M,N,N/A
52,M,O,276
53,A,B,N/A
53,A,F,344
53,B,C,N/A
53,C,A,N/A
53,D,E,295
53,E,G,290
53,F,D,311
53,G,H,306
53,G,I,N/A
53,I,J,N/A
53,J,K,N/A
53,J,L,N/A
53,K,M,N/A
53,L,M,N/A
53,M,N,N/A
53,M,O,N/A
54,A,B,328
54,A,F,1083
54,B,C,246
54,C,A,574
54,D,E,284
54,E,G,323
54,F,D,280
54,G,H,283
54,G,I,N/A
54,I,J,N/A
54,J,K,N/A
54,J,L,N/A
54,K,M,N/A
54,L,M,N/A
54,M,N,N/A
54,M,O,N/A
55,A,B,N/A
55,A,F,316
55,B,C,N/A
55,C,A,N/A
55,D,E,261
55,E,G,316
55,F,D,312
55,G,H,276
55,G,I,N/A
55,I,J,N/A
55,J,K,N/A
55,J,L,N/A
55,K,M,N/A
55,L,M,N/A
55,M,N,N/A
55,M,O,N/A
56,A,B,N/A
56,A,F,352
56,B,C,N/A
56,C,A,N/A
56,D,E,298
56,E,G,302
56,F,D,287
56,G,H,N/A
56,G,I,326
56,I,J,274
56,J,K,313
56,J,L,N/A
56,K,M,283
56,L,M,N/A
56,M,N,342
56,M,O,N/A
57,A,B,301
57,A,F,1353
57,B,C,346
57,C,A,647
57,D,E,263
57,E,G,303
57,F,D,283
57,G,H,N/A
57,G,I,338
57,I,J,271
57,J,K,226
57,J,L,N/A
57,K,M,299
57,L,M,N/A
57,M,N,N/A
57,M,O,360
58,A,B,N/A
58,A,F,322
58,B,C,N/A
58,C,A,N/A
58,D,E,321
58,E,G,259
58,F,D,258
58,G,H,N/A
58,G,I,268
58,I,J,328
58,J,K,277
58,J,L,N/A
58,K,M,337
58,L,M,N/A
58,M,N,N/A
58,M,O,310
59,A,B,284
59,A,F,1139
59,B,C,328
59,C,A,612
59,D,E,320
59,E,G,316
59,F,D,334
59,G,H,N/A
59,G,I,320
59,I,J,292
59,J,K,296
59,J,L,N/A
59,K,M,283
59,L,M,N/A
59,M,N,N/A
59,M,O,310
60,A,B,279
60,A,F,2100
60,B,C,314
60,C,A,594
60,D,E,337
60,E,G,249
60,F,D,286
60,G,H,260
60,G,I,N/A
60,I,J,N/A
60,J,K,N/A
60,J,L,N/A
60,K,M,N/A
60,L,M,N/A
60,M,N,N/A
60,M,O,N/A
61,A,B,N/A
61,A,F,310
61,B,C,N/A
61,C,A,N/A
61,D,E,292
61,E,G,282
61,F,D,296
61,G,H,309
61,G,I,N/A
61,I,J,N/A
61,J,K,N/A
61,J,L,N/A
61,K,M,N/A
61,L,M,N/A
61,M,N,N/A
61,M,O,N/A
62,A,B,309
62,A,F,3826
62,B,C,315
62,C,A,624
62,D,E,344
62,E,G,326
62,F,D,368
62,G,H,N/A
62,G,I,256
62,I,J,336
62,J,K,327
62,J,L,N/A
62,K,M,344
62,L,M,N/A
62,M,N,N/A
62,M,O,280
63,A,B,N/A
63,A,F,279
63,B,C,N/A
63,C,A,N/A
63,D,E,326
63,E,G,350
63,F,D,320
63,G,H,318
63,G,I,N/A
63,I,J,N/A
63,J,K,N/A
63,J,L,N/A
63,K,M,N/A
63,L,M,N/A
63,M,N,N/A
63,M,O,N/A
64,A,B,N/A
64,A,F,291
64,B,C,N/A
64,C,A,N/A
64,D,E,279
64,E,G,326
64,F,D,307
64,G,H,N/A
64,G,I,245
64,I,J,314
64,J,K,298
64,J,L,N/A
64,K,M,269
64,L,M,N/A
64,M,N,N/A
64,M,O,302
65,A,B,320
65,A,F,1233
65,B,C,292
65,C,A,612
65,D,E,359
65,E,G,292
65,F,D,312
65,G,H,286
65,G,I,N/A
65,I,J,N/A
65,J,K,N/A
65,J,L,N/A
65,K,M,N/A
65,L,M,N/A
65,M,N,N/A
65,M,O,N/A
66,A,B,295
66,A,F,1206
66,B,C,286
66,C,A,581
66,D,E,301
66,E,G,306
66,F,D,343
66,G,H,283
66,G,I,N/A
66,I,J,N/A
66,J,K,N/A
66,J,L,N/A
66,K,M,N/A
66,L,M,N/A
66,M,N,N/A
66,M,O,N/A
67,A,B,N/A
67,A,F,349
67,B,C,N/A
67,C,A,N/A
67,D,E,290
67,E,G,256
67,F,D,283
67,G,H,N/A
67,G,I,233
67,I,J,313
67,J,K,N/A
67,J,L,293
67,K,M,N/A
67,L,M,248
67,M,N,N/A
67,M,O,320
68,A,B,343
68,A,F,2078
68,B,C,345
68,C,A,688
68,D,E,300
68,E,G,305
68,F,D,333
68,G,H,312
68,G,I,N/A
68,I,J,N/A
68,J,K,N/A
68,J,L,N/A
68,K,M,N/A
68,L,M,N/A
68,M,N,N/A
68,M,O,N/A
69,A,B,N/A
69,A,F,339
69,B,C,N/A
69,C,A,N/A
69,D,E,240
69,E,G,299
69,F,D,279
69,G,H,280
69,G,I,N/A
69,I,J,N/A
69,J,K,N/A
69,J,L,N/A
69,K,M,N/A
69,L,M,N/A
69,M,N,N/A
69,M,O,N/A
70,A,B,269
70,A,F,2863
70,B,C,286
70,C,A,555
70,D,E,289
70,E,G,291
70,F,D,350
70,G,H,301
70,G,I,N/A
70,I,J,N/A
70,J,K,N/A
70,J,L,N/A
70,K,M,N/A
70,L,M,N/A
70,M,N,N/A
70,M,O,N/A
71,A,B,366
71,A,F,1213
71,B,C,280
71,C,A,645
71,D,E,244
71,E,G,310
71,F,D,352
71,G,H,N/A
71,G,I,335
71,I,J,294
71,J,K,N/A
71,J,L,315
71,K,M,N/A
71,L,M,344
71,M,N,335
71,M,O,N/A
72,A,B,289
72,A,F,1206
72,B,C,321
72,C,A,610
72,D,E,336
72,E,G,251
72,F,D,297
72,G,H,303
72,G,I,N/A
72,I,J,N/A
72,J,K,N/A
72,J,L,N/A
72,K,M,N/A
72,L,M,N/A
72,M,N,N/A
72,M,O,N/A
73,A,B,323
73,A,F,2964
73,B,C,304
73,C,A,627
73,D,E,278
73,E,G,279
73,F,D,303
73,G,H,N/A
73,G,I,294
73,I,J,285
73,J,K,312
73,J,L,N/A
73,K,M,341
73,L,M,N/A
73,M,N,N/A
73,M,O,286
74,A,B,298
74,A,F,1971
74,B,C,233
74,C,A,531
74,D,E,283
74,E,G,270
74,F,D,265
74,G,H,N/A
74,G,I,295
74,I,J,321
74,J,K,N/A
74,J,L,283
74,K,M,N/A
74,L,M,304
74,M,N,297
74,M,O,N/A
75,A,B,N/A
75,A,F,290
75,B,C,N/A
75,C,A,N/A
75,D,E,357
75,E,G,341
75,F,D,329
75,G,H,N/A
75,G,I,309
75,I,J,285
75,J,K,N/A
75,J,L,251
75,K,M,N/A
75,L,M,333
75,M,N,N/A
75,M,O,279
76,A,B,N/A
76,A,F,303
76,B,C,N/A
76,C,A,N/A
76,D,E,325
76,E,G,278
76,F,D,317
76,G,H,288
76,G,I,N/A
76,I,J,N/A
76,J,K,N/A
76,J,L,N/A
76,K,M,N/A
76,L,M,N/A
76,M,N,N/A
76,M,O,N/A
77,A,B,N/A
77,A,F,263
77,B,C,N/A
77,C,A,N/A
77,D,E,304
77,E,G,321
77,F,D,290
77,G,H,354
77,G,I,N/A
77,I,J,N/A
77,J,K,N/A
77,J,L,N/A
77,K,M,N/A
77,L,M,N/A
77,M,N,N/A
77,M,O,N/A
78,A,B,283
78,A,F,1257
78,B,C,307
78,C,A,591
78,D,E,292
78,E,G,280
78,F,D,329
78,G,H,N/A
78,G,I,322
78,I,J,251
78,J,K,292
78,J,L,N/A
78,K,M,301
78,L,M,N/A
78,M,N,N/A
78,M,O,299
79,A,B,344
79,A,F,1205
79,B,C,304
79,C,A,648
79,D,E,296
79,E,G,281
79,F,D,310
79,G,H,N/A
79,G,I,265
79,I,J,277
79,J,K,N/A
79,J,L,278
79,K,M,N/A
79,L,M,286
79,M,N,N/A
79,M,O,287
80,A,B,353
80,A,F,1172
80,B,C,280
80,C,A,632
80,D,E,299
80,E,G,260
80,F,D,308
80,G,H,293
80,G,I,N/A
80,I,J,N/A
80,J,K,N/A
80,J,L,N/A
80,K,M,N/A
80,L,M,N/A
80,M,N,N/A
80,M,O,N/A
81,A,B,N/A
81,A,F,331
81,B,C,N/A
81,C,A,N/A
81,D,E,320
81,E,G,271
81,F,D,324
81,G,H,339
81,G,I,N/A
81,I,J,N/A
81,J,K,N/A
81,J,L,N/A
81,K,M,N/A
81,L,M,N/A
81,M,N,N/A
81,M,O,N/A
82,A,B,N/A
82,A,F,317
82,B,C,N/A
82,C,A,N/A
82,D,E,308
82,E,G,314
82,F,D,311
82,G,H,N/A
82,G,I,249
82,I,J,234
82,J,K,N/A
82,J,L,292
82,K,M,N/A
82,L,M,326
82,M,N,N/A
82,M,O,339
83,A,B,N/A
83,A,F,320
83,B,C,N/A
83,C,A,N/A
83,D,E,268
83,E,G,274
83,F,D,318
83,G,H,323
83,G,I,N/A
83,I,J,N/A
83,J,K,N/A
83,J,L,N/A
83,K,M,N/A
83,L,M,N/A
83,M,N,N/A
83,M,O,N/A
84,A,B,N/A
84,A,F,339
84,B,C,N/A
84,C,A,N/A
84,D,E,322
84,E,G,333
84,F,D,263
84,G,H,269
84,G,I,N/A
84,I,J,N/A
84,J,K,N/A
84,J,L,N/A
84,K,M,N/A
84,L,M,N/A
84,M,N,N/A
84,M,O,N/A
85,A,B,266
85,A,F,1180
85,B,C,298
85,C,A,564
85,D,E,213
85,E,G,298
85,F,D,309
85,G,H,N/A
85,G,I,305
85,I,J,258
85,J,K,N/A
85,J,L,276
85,K,M,N/A
85,L,M,295
85,M,N,N/A
85,M,O,345
86,A,B,269
86,A,F,1162
86,B,C,344
86,C,A,613
86,D,E,324
86,E,G,329
86,F,D,298
86,G,H,N/A
86,G,I,289
86,I,J,278
86,J,K,N/A
86,J,L,328
86,K,M,N/A
86,L,M,359
86,M,N,313
86,M,O,N/A
87,A,B,N/A
87,A,F,341
87,B,C,N/A
87,C,A,N/A
87,D,E,321
87,E,G,290
87,F,D,311
87,G,H,287
87,G,I,N/A
87,I,J,N/A
87,J,K,N/A
87,J,L,N/A
87,K,M,N/A
87,L,M,N/A
87,M,N,N/A
87,M,O,N/A
88,A,B,309
88,A,F,1234
88,B,C,335
88,C,A,644
88,D,E,332
88,E,G,319
88,F,D,296
88,G,H,302
88,G,I,N/A
88,I,J,N/A
88,J,K,N/A
88,J,L,N/A
88,K,M,N/A
88,L,M,N/A
88,M,N,N/A
88,M,O,N/A
89,A,B,317
89,A,F,1129
89,B,C,248
89,C,A,565
89,D,E,287
89,E,G,292
89,F,D,336
89,G,H,N/A
89,G,I,248
89,I,J,284
89,J,K,N/A
89,J,L,328
89,K,M,N/A
89,L,M,287
89,M,N,N/A
89,M,O,272
90,A,B,N/A
90,A,F,285
90,B,C,N/A
90,C,A,N/A
90,D,E,229
90,E,G,287
90,F,D,310
90,G,H,N/A
90,G,I,307
90,I,J,335
90,J,K,271
90,J,L,N/A
90,K,M,307
90,L,M,N/A
90,M,N,N/A
90,M,O,363
91,A,B,N/A
91,A,F,293
91,B,C,N/A
91,C,A,N/A
91,D,E,314
91,E,G,318
91,F,D,273
91,G,H,396
91,G,I,N/A
91,I,J,N/A
91,J,K,N/A
91,J,L,N/A
91,K,M,N/A
91,L,M,N/A
91,M,N,N/A
91,M,O,N/A
92,A,B,N/A
92,A,F,311
92,B,C,N/A
92,C,A,N/A
92,D,E,275
92,E,G,308
92,F,D,297
92,G,H,N/A
92,G,I,319
92,I,J,285
92,J,K,311
92,J,L,N/A
92,K,M,297
92,L,M,N/A
92,M,N,306
92,M,O,N/A
93,A,B,332
93,A,F,1258
93,B,C,320
93,C,A,652
93,D,E,363
93,E,G,262
93,F,D,279
93,G,H,308
93,G,I,N/A
93,I,J,N/A
93,J,K,N/A
93,J,L,N/A
93,K,M,N/A
93,L,M,N/A
93,M,N,N/A
93,M,O,N/A
94,A,B,N/A
94,A,F,292
94,B,C,N/A
94,C,A,N/A
94,D,E,354
94,E,G,338
94,F,D,273
94,G,H,286
