case,activitypair,A,B,C,D,E,F,G,H,I,J,K,L,M,N,O
1,F,1851,0.0,0.0,1758,3476,0.0,5104,0.0,6790,8613,0.0,10719,12527,0.0,14640
1,G,6955,0.0,0.0,3346,1628,5104,0.0,0.0,1687,3509,0.0,5616,7423,0.0,9536
1,H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,I,8641,0.0,0.0,5033,3315,6790,1687,0.0,0.0,1822,0.0,3929,5737,0.0,7849
1,J,10464,0.0,0.0,6855,5137,8613,3509,0.0,1822,0.0,0.0,2107,3914,0.0,6027
1,K,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,L,12571,0.0,0.0,8962,7244,10719,5616,0.0,3929,2107,0.0,0.0,1808,0.0,3920
1,M,14378,0.0,0.0,10769,9051,12527,7423,0.0,5737,3914,0.0,1808,0.0,0.0,2113
1,N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,O,16491,0.0,0.0,12882,11164,14640,9536,0.0,7849,6027,0.0,3920,2113,0.0,0.0
2,A,0.0,2007,3686,9046,10469,7142,12523,14841,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,B,2007,0.0,1679,7039,8462,5135,10516,12834,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,C,3686,1679,0.0,5360,6783,3456,8837,11155,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,D,9046,7039,5360,0.0,1423,1904,3476,5795,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,E,10469,8462,6783,1423,0.0,3327,2054,4372,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,F,7142,5135,3456,1904,3327,0.0,5380,7699,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,G,12523,10516,8837,3476,2054,5380,0.0,2319,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,H,14841,12834,11155,5795,4372,7699,2319,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,I,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,J,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,K,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,L,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,M,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,A,0.0,1783,3832,14540,16211,12729,18084,0.0,19988,21687,0.0,23407,25482,0.0,27243
3,B,1783,0.0,2049,12757,14428,10946,16301,0.0,18205,19904,0.0,21624,23699,0.0,25459
3,C,3832,2049,0.0,10708,12379,8897,14252,0.0,16156,17855,0.0,19575,21650,0.0,23411
3,D,14540,12757,10708,0.0,1671,1811,3544,0.0,5448,7147,0.0,8867,10942,0.0,12702
3,E,16211,14428,12379,1671,0.0,3482,1873,0.0,3777,5476,0.0,7196,9271,0.0,11032
3,F,12729,10946,8897,1811,3482,0.0,5355,0.0,7259,8958,0.0,10678,12753,0.0,14513
3,G,18084,16301,14252,3544,1873,5355,0.0,0.0,1904,3603,0.0,5323,7398,0.0,9158
3,H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,I,19988,18205,16156,5448,3777,7259,1904,0.0,0.0,1699,0.0,3419,5494,0.0,7255
3,J,21687,19904,17855,7147,5476,8958,3603,0.0,1699,0.0,0.0,1720,3795,0.0,5555
3,K,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,L,23407,21624,19575,8867,7196,10678,5323,0.0,3419,1720,0.0,0.0,2075,0.0,3835
3,M,25482,23699,21650,10942,9271,12753,7398,0.0,5494,3795,0.0,2075,0.0,0.0,1760
3,N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,O,27243,25459,23411,12702,11032,14513,9158,0.0,7255,5555,0.0,3835,1760,0.0,0.0
4,A,0.0,0.0,0.0,3745,5247,2051,6807,0.0,8575,10563,0.0,12601,14469,16271,0.0
4,B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,D,3745,0.0,0.0,0.0,1502,1694,3062,0.0,4830,6818,0.0,8856,10724,12526,0.0
4,E,5247,0.0,0.0,1502,0.0,3196,1559,0.0,3328,5316,0.0,7354,9221,11023,0.0
4,F,2051,0.0,0.0,1694,3196,0.0,4756,0.0,6524,8512,0.0,10550,12417,14220,0.0
4,G,6807,0.0,0.0,3062,1559,4756,0.0,0.0,1768,3756,0.0,5795,7662,9464,0.0
4,H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,I,8575,0.0,0.0,4830,3328,6524,1768,0.0,0.0,1988,0.0,4026,5894,7696,0.0
4,J,10563,0.0,0.0,6818,5316,8512,3756,0.0,1988,0.0,0.0,2038,3905,5708,0.0
4,K,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,L,12601,0.0,0.0,8856,7354,10550,5795,0.0,4026,2038,0.0,0.0,1867,3669,0.0
4,M,14469,0.0,0.0,10724,9221,12417,7662,0.0,5894,3905,0.0,1867,0.0,1802,0.0
4,N,16271,0.0,0.0,12526,11023,14220,9464,0.0,7696,5708,0.0,3669,1802,0.0,0.0
4,O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,A,0.0,0.0,0.0,3814,5437,1795,7384,9280,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,D,3814,0.0,0.0,0.0,1624,2019,3570,5466,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,E,5437,0.0,0.0,1624,0.0,3642,1946,3842,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,F,1795,0.0,0.0,2019,3642,0.0,5589,7485,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,G,7384,0.0,0.0,3570,1946,5589,0.0,1896,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,H,9280,0.0,0.0,5466,3842,7485,1896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,I,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,J,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,K,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,L,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,M,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,A,0.0,1418,3301,8696,10321,6806,12251,0.0,14047,15661,0.0,17751,19806,21516,0.0
6,B,1418,0.0,1882,7278,8903,5388,10833,0.0,12628,14243,0.0,16333,18388,20098,0.0
6,C,3301,1882,0.0,5396,7020,3506,8951,0.0,10746,12361,0.0,14450,16506,18215,0.0
6,D,8696,7278,5396,0.0,1625,1890,3555,0.0,5350,6965,0.0,9055,11110,12820,0.0
6,E,10321,8903,7020,1625,0.0,3515,1930,0.0,3726,5340,0.0,7430,9485,11195,0.0
6,F,6806,5388,3506,1890,3515,0.0,5445,0.0,7240,8855,0.0,10945,13000,14710,0.0
6,G,12251,10833,8951,3555,1930,5445,0.0,0.0,1796,3410,0.0,5500,7555,9265,0.0
6,H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,I,14047,12628,10746,5350,3726,7240,1796,0.0,0.0,1614,0.0,3704,5759,7469,0.0
6,J,15661,14243,12361,6965,5340,8855,3410,0.0,1614,0.0,0.0,2090,4145,5855,0.0
6,K,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,L,17751,16333,14450,9055,7430,10945,5500,0.0,3704,2090,0.0,0.0,2055,3765,0.0
6,M,19806,18388,16506,11110,9485,13000,7555,0.0,5759,4145,0.0,2055,0.0,1710,0.0
6,N,21516,20098,18215,12820,11195,14710,9265,0.0,7469,5855,0.0,3765,1710,0.0,0.0
6,O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,A,0.0,0.0,0.0,3285,5052,1491,6873,8622,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,D,3285,0.0,0.0,0.0,1768,1793,3589,5337,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,E,5052,0.0,0.0,1768,0.0,3561,1821,3570,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,F,1491,0.0,0.0,1793,3561,0.0,5382,7131,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,G,6873,0.0,0.0,3589,1821,5382,0.0,1749,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,H,8622,0.0,0.0,5337,3570,7131,1749,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,I,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,J,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,K,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,L,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,M,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,A,0.0,0.0,0.0,3670,5681,1912,7349,0.0,9298,10711,0.0,12450,14311,15925,0.0
8,B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,D,3670,0.0,0.0,0.0,2011,1758,3679,0.0,5628,7041,0.0,8780,10641,12255,0.0
8,E,5681,0.0,0.0,2011,0.0,3769,1668,0.0,3617,5030,0.0,6768,8630,10243,0.0
8,F,1912,0.0,0.0,1758,3769,0.0,5437,0.0,7386,8799,0.0,10537,12399,14012,0.0
8,G,7349,0.0,0.0,3679,1668,5437,0.0,0.0,1949,3361,0.0,5100,6962,8575,0.0
8,H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,I,9298,0.0,0.0,5628,3617,7386,1949,0.0,0.0,1413,0.0,3152,5013,6627,0.0
8,J,10711,0.0,0.0,7041,5030,8799,3361,0.0,1413,0.0,0.0,1739,3600,5214,0.0
8,K,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,L,12450,0.0,0.0,8780,6768,10537,5100,0.0,3152,1739,0.0,0.0,1862,3475,0.0
8,M,14311,0.0,0.0,10641,8630,12399,6962,0.0,5013,3600,0.0,1862,0.0,1614,0.0
8,N,15925,0.0,0.0,12255,10243,14012,8575,0.0,6627,5214,0.0,3475,1614,0.0,0.0
8,O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,A,0.0,1760,3342,9147,10983,7207,12928,0.0,14752,16469,18325,0.0,20304,0.0,22385
9,B,1760,0.0,1582,7387,9223,5447,11168,0.0,12992,14709,16565,0.0,18544,0.0,20625
9,C,3342,1582,0.0,5806,7641,3866,9586,0.0,11410,13127,14983,0.0,16963,0.0,19043
9,D,9147,7387,5806,0.0,1836,1940,3780,0.0,5605,7321,9178,0.0,11157,0.0,13237
9,E,10983,9223,7641,1836,0.0,3776,1944,0.0,3769,5486,7342,0.0,9321,0.0,11401
9,F,7207,5447,3866,1940,3776,0.0,5720,0.0,7545,9261,11118,0.0,13097,0.0,15177
9,G,12928,11168,9586,3780,1944,5720,0.0,0.0,1824,3541,5397,0.0,7377,0.0,9457
9,H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,I,14752,12992,11410,5605,3769,7545,1824,0.0,0.0,1717,3573,0.0,5552,0.0,7633
9,J,16469,14709,13127,7321,5486,9261,3541,0.0,1717,0.0,1856,0.0,3836,0.0,5916
9,K,18325,16565,14983,9178,7342,11118,5397,0.0,3573,1856,0.0,0.0,1979,0.0,4060
9,L,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,M,20304,18544,16963,11157,9321,13097,7377,0.0,5552,3836,1979,0.0,0.0,0.0,2080
9,N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,O,22385,20625,19043,13237,11401,15177,9457,0.0,7633,5916,4060,0.0,2080,0.0,0.0
10,A,0.0,0.0,0.0,3777,5897,2325,7846,0.0,9449,11233,0.0,12956,14849,16503,0.0
10,B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,D,3777,0.0,0.0,0.0,2120,1452,4070,0.0,5673,7456,0.0,9180,11072,12726,0.0
10,E,5897,0.0,0.0,2120,0.0,3572,1949,0.0,3552,5336,0.0,7059,8952,10606,0.0
10,F,2325,0.0,0.0,1452,3572,0.0,5522,0.0,7124,8908,0.0,10632,12524,14178,0.0
10,G,7846,0.0,0.0,4070,1949,5522,0.0,0.0,1603,3386,0.0,5110,7003,8656,0.0
10,H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,I,9449,0.0,0.0,5673,3552,7124,1603,0.0,0.0,1784,0.0,3507,5400,7053,0.0
10,J,11233,0.0,0.0,7456,5336,8908,3386,0.0,1784,0.0,0.0,1723,3616,5270,0.0
10,K,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,L,12956,0.0,0.0,9180,7059,10632,5110,0.0,3507,1723,0.0,0.0,1893,3546,0.0
10,M,14849,0.0,0.0,11072,8952,12524,7003,0.0,5400,3616,0.0,1893,0.0,1653,0.0
10,N,16503,0.0,0.0,12726,10606,14178,8656,0.0,7053,5270,0.0,3546,1653,0.0,0.0
10,O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,A,0.0,0.0,0.0,4112,5968,1918,7778,0.0,9443,11373,0.0,13393,15436,0.0,17370
11,B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,D,4112,0.0,0.0,0.0,1856,2194,3666,0.0,5332,7261,0.0,9281,11324,0.0,13258
11,E,5968,0.0,0.0,1856,0.0,4050,1810,0.0,3476,5405,0.0,7425,9468,0.0,11402
11,F,1918,0.0,0.0,2194,4050,0.0,5860,0.0,7525,9454,0.0,11475,13518,0.0,15452
11,G,7778,0.0,0.0,3666,1810,5860,0.0,0.0,1665,3595,0.0,5615,7658,0.0,9592
11,H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,I,9443,0.0,0.0,5332,3476,7525,1665,0.0,0.0,1929,0.0,3950,5993,0.0,7926
11,J,11373,0.0,0.0,7261,5405,9454,3595,0.0,1929,0.0,0.0,2020,4064,0.0,5997
11,K,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,L,13393,0.0,0.0,9281,7425,11475,5615,0.0,3950,2020,0.0,0.0,2043,0.0,3977
11,M,15436,0.0,0.0,11324,9468,13518,7658,0.0,5993,4064,0.0,2043,0.0,0.0,1934
11,N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,O,17370,0.0,0.0,13258,11402,15452,9592,0.0,7926,5997,0.0,3977,1934,0.0,0.0
12,A,0.0,1705,3429,14164,16061,11960,18247,20165,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,B,1705,0.0,1724,12459,14356,10255,16542,18460,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,C,3429,1724,0.0,10735,12632,8531,14818,16737,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,D,14164,12459,10735,0.0,1897,2204,4083,6002,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,E,16061,14356,12632,1897,0.0,4101,2186,4104,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,F,11960,10255,8531,2204,4101,0.0,6287,8206,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,G,18247,16542,14818,4083,2186,6287,0.0,1918,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,H,20165,18460,16737,6002,4104,8206,1918,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,I,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,J,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,K,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,L,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,M,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,A,0.0,0.0,0.0,3170,4723,1247,6456,0.0,8529,10625,0.0,12441,14149,0.0,16097
13,B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,D,3170,0.0,0.0,0.0,1552,1924,3285,0.0,5359,7455,0.0,9271,10979,0.0,12926
13,E,4723,0.0,0.0,1552,0.0,3476,1733,0.0,3806,5902,0.0,7719,9426,0.0,11374
13,F,1247,0.0,0.0,1924,3476,0.0,5209,0.0,7282,9378,0.0,11195,12902,0.0,14850
13,G,6456,0.0,0.0,3285,1733,5209,0.0,0.0,2073,4169,0.0,5986,7693,0.0,9641
13,H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,I,8529,0.0,0.0,5359,3806,7282,2073,0.0,0.0,2096,0.0,3912,5620,0.0,7568
13,J,10625,0.0,0.0,7455,5902,9378,4169,0.0,2096,0.0,0.0,1816,3524,0.0,5472
13,K,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,L,12441,0.0,0.0,9271,7719,11195,5986,0.0,3912,1816,0.0,0.0,1708,0.0,3655
13,M,14149,0.0,0.0,10979,9426,12902,7693,0.0,5620,3524,0.0,1708,0.0,0.0,1948
13,N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,O,16097,0.0,0.0,12926,11374,14850,9641,0.0,7568,5472,0.0,3655,1948,0.0,0.0
14,A,0.0,0.0,0.0,3551,5263,1643,7140,0.0,9235,11116,13154,0.0,14909,0.0,16991
14,B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,D,3551,0.0,0.0,0.0,1712,1908,3589,0.0,5684,7565,9603,0.0,11358,0.0,13440
14,E,5263,0.0,0.0,1712,0.0,3620,1877,0.0,3971,5853,7891,0.0,9646,0.0,11728
14,F,1643,0.0,0.0,1908,3620,0.0,5497,0.0,7592,9473,11511,0.0,13266,0.0,15348
14,G,7140,0.0,0.0,3589,1877,5497,0.0,0.0,2095,3976,6014,0.0,7769,0.0,9851
14,H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,I,9235,0.0,0.0,5684,3971,7592,2095,0.0,0.0,1881,3919,0.0,5674,0.0,7756
14,J,11116,0.0,0.0,7565,5853,9473,3976,0.0,1881,0.0,2038,0.0,3793,0.0,5875
14,K,13154,0.0,0.0,9603,7891,11511,6014,0.0,3919,2038,0.0,0.0,1755,0.0,3837
14,L,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,M,14909,0.0,0.0,11358,9646,13266,7769,0.0,5674,3793,1755,0.0,0.0,0.0,2082
14,N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,O,16991,0.0,0.0,13440,11728,15348,9851,0.0,7756,5875,3837,0.0,2082,0.0,0.0
15,A,0.0,0.0,0.0,3585,5539,1723,7298,9074,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,D,3585,0.0,0.0,0.0,1954,1862,3713,5489,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,E,5539,0.0,0.0,1954,0.0,3815,1760,3535,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,F,1723,0.0,0.0,1862,3815,0.0,5575,7351,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,G,7298,0.0,0.0,3713,1760,5575,0.0,1776,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,H,9074,0.0,0.0,5489,3535,7351,1776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,I,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,J,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,K,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,L,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
