case,activitypair,A,B,C,D,E,F,G,H,I,J,K,L,M,N,O
1,G,39685,37725,36024,3544,1761,5677,0.0,0.0,1760,4005,0.0,5748,7326,9022,0.0
1,H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,I,41445,39485,37784,5303,3521,7436,1760,0.0,0.0,2245,0.0,3988,5566,7262,0.0
1,J,43690,41730,40029,7549,5766,9682,4005,0.0,2245,0.0,0.0,1743,3321,5017,0.0
1,K,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,L,45434,43473,41773,9292,7509,11425,5748,0.0,3988,1743,0.0,0.0,1578,3274,0.0
1,M,47011,45051,43350,10870,9087,13003,7326,0.0,5566,3321,0.0,1578,0.0,1696,0.0
1,N,48707,46747,45046,12566,10783,14699,9022,0.0,7262,5017,0.0,3274,1696,0.0,0.0
1,O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,A,0.0,1806,3477,15184,17034,13336,18750,20562,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,B,1806,0.0,1672,13379,15229,11530,16945,18756,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,C,3477,1672,0.0,11707,13557,9859,15273,17084,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,D,15184,13379,11707,0.0,1850,1848,3566,5377,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,E,17034,15229,13557,1850,0.0,3698,1716,3527,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,F,13336,11530,9859,1848,3698,0.0,5414,7225,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,G,18750,16945,15273,3566,1716,5414,0.0,1811,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,H,20562,18756,17084,5377,3527,7225,1811,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,I,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,J,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,K,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,L,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,M,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,A,0.0,1742,3486,8293,10329,6702,12254,0.0,14015,16137,0.0,17833,19610,21131,0.0
3,B,1742,0.0,1745,6552,8587,4961,10512,0.0,12273,14396,0.0,16091,17868,19390,0.0
3,C,3486,1745,0.0,4807,6842,3216,8767,0.0,10528,12651,0.0,14347,16124,17645,0.0
3,D,8293,6552,4807,0.0,2035,1591,3960,0.0,5721,7844,0.0,9539,11317,12838,0.0
3,E,10329,8587,6842,2035,0.0,3626,1925,0.0,3686,5809,0.0,7504,9282,10803,0.0
3,F,6702,4961,3216,1591,3626,0.0,5551,0.0,7312,9435,0.0,11130,12908,14429,0.0
3,G,12254,10512,8767,3960,1925,5551,0.0,0.0,1761,3884,0.0,5579,7357,8878,0.0
3,H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,I,14015,12273,10528,5721,3686,7312,1761,0.0,0.0,2122,0.0,3818,5595,7117,0.0
3,J,16137,14396,12651,7844,5809,9435,3884,0.0,2122,0.0,0.0,1696,3473,4994,0.0
3,K,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,L,17833,16091,14347,9539,7504,11130,5579,0.0,3818,1696,0.0,0.0,1777,3298,0.0
3,M,19610,17868,16124,11317,9282,12908,7357,0.0,5595,3473,0.0,1777,0.0,1521,0.0
3,N,21131,19390,17645,12838,10803,14429,8878,0.0,7117,4994,0.0,3298,1521,0.0,0.0
3,O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,A,0.0,2258,4087,9580,11325,7608,13267,14888,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,B,2258,0.0,1830,7323,9067,5350,11010,12630,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,C,4087,1830,0.0,5493,7237,3521,9180,10800,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,D,9580,7323,5493,0.0,1744,1972,3687,5307,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,E,11325,9067,7237,1744,0.0,3717,1943,3563,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,F,7608,5350,3521,1972,3717,0.0,5659,7280,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,G,13267,11010,9180,3687,1943,5659,0.0,1620,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,H,14888,12630,10800,5307,3563,7280,1620,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,I,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,J,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,K,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,L,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,M,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,A,0.0,1667,3626,9195,11187,7260,13035,14732,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,B,1667,0.0,1960,7528,9521,5593,11368,13065,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,C,3626,1960,0.0,5569,7561,3634,9408,11105,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,D,9195,7528,5569,0.0,1993,1935,3840,5537,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,E,11187,9521,7561,1993,0.0,3927,1847,3544,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,F,7260,5593,3634,1935,3927,0.0,5775,7471,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,G,13035,11368,9408,3840,1847,5775,0.0,1697,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,H,14732,13065,11105,5537,3544,7471,1697,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,I,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,J,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,K,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,L,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,M,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,A,0.0,0.0,0.0,3669,5388,1743,6853,0.0,8764,10487,11979,0.0,13673,15256,0.0
6,B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,D,3669,0.0,0.0,0.0,1719,1926,3184,0.0,5095,6818,8310,0.0,10005,11588,0.0
6,E,5388,0.0,0.0,1719,0.0,3645,1465,0.0,3376,5099,6591,0.0,8285,9868,0.0
6,F,1743,0.0,0.0,1926,3645,0.0,5110,0.0,7020,8743,10236,0.0,11930,13513,0.0
6,G,6853,0.0,0.0,3184,1465,5110,0.0,0.0,1910,3633,5126,0.0,6820,8403,0.0
6,H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,I,8764,0.0,0.0,5095,3376,7020,1910,0.0,0.0,1723,3216,0.0,4910,6493,0.0
6,J,10487,0.0,0.0,6818,5099,8743,3633,0.0,1723,0.0,1492,0.0,3187,4770,0.0
6,K,11979,0.0,0.0,8310,6591,10236,5126,0.0,3216,1492,0.0,0.0,1694,3277,0.0
6,L,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,M,13673,0.0,0.0,10005,8285,11930,6820,0.0,4910,3187,1694,0.0,0.0,1583,0.0
6,N,15256,0.0,0.0,11588,9868,13513,8403,0.0,6493,4770,3277,0.0,1583,0.0,0.0
6,O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,A,0.0,0.0,0.0,3349,5015,1714,6954,0.0,8788,10685,0.0,12838,14672,16345,0.0
7,B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,D,3349,0.0,0.0,0.0,1666,1635,3605,0.0,5440,7337,0.0,9490,11324,12996,0.0
7,E,5015,0.0,0.0,1666,0.0,3301,1939,0.0,3773,5670,0.0,7823,9657,11330,0.0
7,F,1714,0.0,0.0,1635,3301,0.0,5240,0.0,7075,8972,0.0,11125,12959,14631,0.0
7,G,6954,0.0,0.0,3605,1939,5240,0.0,0.0,1834,3732,0.0,5884,7719,9391,0.0
7,H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,I,8788,0.0,0.0,5440,3773,7075,1834,0.0,0.0,1897,0.0,4050,5884,7557,0.0
7,J,10685,0.0,0.0,7337,5670,8972,3732,0.0,1897,0.0,0.0,2153,3987,5660,0.0
7,K,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,L,12838,0.0,0.0,9490,7823,11125,5884,0.0,4050,2153,0.0,0.0,1834,3507,0.0
7,M,14672,0.0,0.0,11324,9657,12959,7719,0.0,5884,3987,0.0,1834,0.0,1672,0.0
7,N,16345,0.0,0.0,12996,11330,14631,9391,0.0,7557,5660,0.0,3507,1672,0.0,0.0
7,O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,A,0.0,0.0,0.0,3535,5587,1728,7347,0.0,9334,11164,0.0,12886,14841,0.0,16615
8,B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,D,3535,0.0,0.0,0.0,2052,1807,3812,0.0,5799,7629,0.0,9351,11305,0.0,13079
8,E,5587,0.0,0.0,2052,0.0,3859,1760,0.0,3747,5577,0.0,7299,9253,0.0,11027
8,F,1728,0.0,0.0,1807,3859,0.0,5619,0.0,7606,9436,0.0,11158,13113,0.0,14887
8,G,7347,0.0,0.0,3812,1760,5619,0.0,0.0,1987,3817,0.0,5539,7493,0.0,9267
8,H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,I,9334,0.0,0.0,5799,3747,7606,1987,0.0,0.0,1830,0.0,3552,5507,0.0,7281
8,J,11164,0.0,0.0,7629,5577,9436,3817,0.0,1830,0.0,0.0,1722,3676,0.0,5450
8,K,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,L,12886,0.0,0.0,9351,7299,11158,5539,0.0,3552,1722,0.0,0.0,1955,0.0,3729
8,M,14841,0.0,0.0,11305,9253,13113,7493,0.0,5507,3676,0.0,1955,0.0,0.0,1774
8,N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,O,16615,0.0,0.0,13079,11027,14887,9267,0.0,7281,5450,0.0,3729,1774,0.0,0.0
9,A,0.0,0.0,0.0,3866,5635,1960,7422,0.0,9189,10671,0.0,12163,13792,0.0,15527
9,B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,D,3866,0.0,0.0,0.0,1769,1905,3556,0.0,5323,6805,0.0,8297,9926,0.0,11661
9,E,5635,0.0,0.0,1769,0.0,3675,1787,0.0,3554,5036,0.0,6527,8157,0.0,9892
9,F,1960,0.0,0.0,1905,3675,0.0,5462,0.0,7229,8711,0.0,10202,11832,0.0,13566
9,G,7422,0.0,0.0,3556,1787,5462,0.0,0.0,1767,3249,0.0,4741,6370,0.0,8105
9,H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,I,9189,0.0,0.0,5323,3554,7229,1767,0.0,0.0,1482,0.0,2974,4603,0.0,6338
9,J,10671,0.0,0.0,6805,5036,8711,3249,0.0,1482,0.0,0.0,1492,3121,0.0,4856
9,K,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,L,12163,0.0,0.0,8297,6527,10202,4741,0.0,2974,1492,0.0,0.0,1630,0.0,3364
9,M,13792,0.0,0.0,9926,8157,11832,6370,0.0,4603,3121,0.0,1630,0.0,0.0,1735
9,N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,O,15527,0.0,0.0,11661,9892,13566,8105,0.0,6338,4856,0.0,3364,1735,0.0,0.0
10,A,0.0,0.0,0.0,3600,5456,1962,7164,8762,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,D,3600,0.0,0.0,0.0,1856,1638,3564,5162,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,E,5456,0.0,0.0,1856,0.0,3494,1708,3306,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,F,1962,0.0,0.0,1638,3494,0.0,5202,6800,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,G,7164,0.0,0.0,3564,1708,5202,0.0,1598,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,H,8762,0.0,0.0,5162,3306,6800,1598,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,I,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,J,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,K,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,L,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,M,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,A,0.0,1763,3632,8966,10785,7185,12897,14909,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,B,1763,0.0,1869,7203,9022,5423,11134,13146,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,C,3632,1869,0.0,5334,7153,3554,9265,11277,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,D,8966,7203,5334,0.0,1818,1781,3931,5943,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,E,10785,9022,7153,1818,0.0,3599,2113,4124,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,F,7185,5423,3554,1781,3599,0.0,5712,7723,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,G,12897,11134,9265,3931,2113,5712,0.0,2012,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,H,14909,13146,11277,5943,4124,7723,2012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,I,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,J,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,K,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,L,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,M,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,A,0.0,0.0,0.0,3542,5131,1670,6826,8823,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,D,3542,0.0,0.0,0.0,1589,1872,3285,5281,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,E,5131,0.0,0.0,1589,0.0,3460,1696,3692,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,F,1670,0.0,0.0,1872,3460,0.0,5156,7153,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,G,6826,0.0,0.0,3285,1696,5156,0.0,1997,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,H,8823,0.0,0.0,5281,3692,7153,1997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,I,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,J,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,K,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,L,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,M,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,A,0.0,0.0,0.0,3702,5738,1882,7564,0.0,9329,11042,0.0,12681,14613,16445,0.0
13,B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,D,3702,0.0,0.0,0.0,2037,1820,3863,0.0,5627,7340,0.0,8980,10912,12743,0.0
13,E,5738,0.0,0.0,2037,0.0,3856,1826,0.0,3591,5304,0.0,6943,8875,10706,0.0
13,F,1882,0.0,0.0,1820,3856,0.0,5682,0.0,7447,9160,0.0,10799,12731,14563,0.0
13,G,7564,0.0,0.0,3863,1826,5682,0.0,0.0,1765,3478,0.0,5117,7049,8880,0.0
13,H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,I,9329,0.0,0.0,5627,3591,7447,1765,0.0,0.0,1713,0.0,3352,5285,7116,0.0
13,J,11042,0.0,0.0,7340,5304,9160,3478,0.0,1713,0.0,0.0,1639,3571,5403,0.0
13,K,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,L,12681,0.0,0.0,8980,6943,10799,5117,0.0,3352,1639,0.0,0.0,1932,3763,0.0
13,M,14613,0.0,0.0,10912,8875,12731,7049,0.0,5285,3571,0.0,1932,0.0,1831,0.0
13,N,16445,0.0,0.0,12743,10706,14563,8880,0.0,7116,5403,0.0,3763,1831,0.0,0.0
13,O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,A,0.0,0.0,0.0,3993,5638,2251,7600,0.0,9768,11471,13281,0.0,15318,17161,0.0
14,B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,D,3993,0.0,0.0,0.0,1645,1742,3607,0.0,5776,7478,9288,0.0,11325,13168,0.0
14,E,5638,0.0,0.0,1645,0.0,3387,1962,0.0,4130,5833,7643,0.0,9680,11523,0.0
14,F,2251,0.0,0.0,1742,3387,0.0,5349,0.0,7517,9220,11030,0.0,13067,14910,0.0
14,G,7600,0.0,0.0,3607,1962,5349,0.0,0.0,2168,3871,5681,0.0,7718,9561,0.0
14,H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,I,9768,0.0,0.0,5776,4130,7517,2168,0.0,0.0,1703,3512,0.0,5550,7393,0.0
14,J,11471,0.0,0.0,7478,5833,9220,3871,0.0,1703,0.0,1810,0.0,3847,5690,0.0
14,K,13281,0.0,0.0,9288,7643,11030,5681,0.0,3512,1810,0.0,0.0,2037,3880,0.0
14,L,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,M,15318,0.0,0.0,11325,9680,13067,7718,0.0,5550,3847,2037,0.0,0.0,1843,0.0
14,N,17161,0.0,0.0,13168,11523,14910,9561,0.0,7393,5690,3880,0.0,1843,0.0,0.0
14,O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,A,0.0,1538,3327,19103,20761,17155,22805,0.0,24653,26319,0.0,28153,30219,0.0,31615
15,B,1538,0.0,1790,17566,19224,15618,21268,0.0,23116,24782,0.0,26616,28682,0.0,30078
15,C,3327,1790,0.0,15776,17434,13828,19478,0.0,21326,22992,0.0,24826,26892,0.0,28288
15,D,19103,17566,15776,0.0,1658,1948,3702,0.0,5550,7216,0.0,9050,11116,0.0,12512
15,E,20761,19224,17434,1658,0.0,3606,2044,0.0,3892,5558,0.0,7392,9458,0.0,10854
15,F,17155,15618,13828,1948,3606,0.0,5650,0.0,7498,9164,0.0,10998,13064,0.0,14460
15,G,22805,21268,19478,3702,2044,5650,0.0,0.0,1848,3514,0.0,5348,7414,0.0,8810
15,H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,I,24653,23116,21326,5550,3892,7498,1848,0.0,0.0,1666,0.0,3500,5566,0.0,6962
15,J,26319,24782,22992,7216,5558,9164,3514,0.0,1666,0.0,0.0,1834,3900,0.0,5296
15,K,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,L,28153,26616,24826,9050,7392,10998,5348,0.0,3500,1834,0.0,0.0,2066,0.0,3462
