case,activitypair,A,B,C,D,E,F,G,H,I,J,K,L,M,N,O
2,M,35064,32784,30974,10356,8683,12269,6849,0.0,5461,3423,0.0,1512,0.0,0.0,1944
2,N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,O,37008,34728,32918,12300,10627,14213,8793,0.0,7405,5367,0.0,3456,1944,0.0,0.0
3,A,0.0,0.0,0.0,3628,5736,1742,7200,9243,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,D,3628,0.0,0.0,0.0,2108,1886,3572,5616,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,E,5736,0.0,0.0,2108,0.0,3994,1464,3508,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,F,1742,0.0,0.0,1886,3994,0.0,5458,7502,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,G,7200,0.0,0.0,3572,1464,5458,0.0,2044,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,H,9243,0.0,0.0,5616,3508,7502,2044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,I,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,J,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,K,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,L,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,M,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,A,0.0,1507,3101,8046,9638,6321,11365,0.0,12975,14694,0.0,16576,18183,20105,0.0
4,B,1507,0.0,1594,6539,8131,4815,9858,0.0,11469,13188,0.0,15069,16677,18598,0.0
4,C,3101,1594,0.0,4945,6537,3220,8264,0.0,9874,11593,0.0,13475,15082,17004,0.0
4,D,8046,6539,4945,0.0,1592,1725,3319,0.0,4929,6648,0.0,8530,10137,12059,0.0
4,E,9638,8131,6537,1592,0.0,3317,1727,0.0,3337,5056,0.0,6938,8545,10467,0.0
4,F,6321,4815,3220,1725,3317,0.0,5044,0.0,6654,8373,0.0,10254,11862,13784,0.0
4,G,11365,9858,8264,3319,1727,5044,0.0,0.0,1610,3329,0.0,5211,6819,8740,0.0
4,H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,I,12975,11469,9874,4929,3337,6654,1610,0.0,0.0,1719,0.0,3601,5208,7130,0.0
4,J,14694,13188,11593,6648,5056,8373,3329,0.0,1719,0.0,0.0,1882,3489,5411,0.0
4,K,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,L,16576,15069,13475,8530,6938,10254,5211,0.0,3601,1882,0.0,0.0,1608,3529,0.0
4,M,18183,16677,15082,10137,8545,11862,6819,0.0,5208,3489,0.0,1608,0.0,1922,0.0
4,N,20105,18598,17004,12059,10467,13784,8740,0.0,7130,5411,0.0,3529,1922,0.0,0.0
4,O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,A,0.0,1981,3581,8733,10540,6921,12333,0.0,14079,15741,17474,0.0,19122,20890,0.0
5,B,1981,0.0,1600,6752,8558,4940,10352,0.0,12098,13760,15493,0.0,17141,18909,0.0
5,C,3581,1600,0.0,5152,6959,3340,8752,0.0,10498,12160,13893,0.0,15541,17309,0.0
5,D,8733,6752,5152,0.0,1806,1812,3600,0.0,5346,7008,8741,0.0,10389,12157,0.0
5,E,10540,8558,6959,1806,0.0,3619,1794,0.0,3540,5201,6935,0.0,8582,10350,0.0
5,F,6921,4940,3340,1812,3619,0.0,5412,0.0,7158,8820,10553,0.0,12201,13969,0.0
5,G,12333,10352,8752,3600,1794,5412,0.0,0.0,1746,3407,5141,0.0,6789,8557,0.0
5,H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,I,14079,12098,10498,5346,3540,7158,1746,0.0,0.0,1661,3395,0.0,5043,6811,0.0
5,J,15741,13760,12160,7008,5201,8820,3407,0.0,1661,0.0,1734,0.0,3381,5149,0.0
5,K,17474,15493,13893,8741,6935,10553,5141,0.0,3395,1734,0.0,0.0,1648,3416,0.0
5,L,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,M,19122,17141,15541,10389,8582,12201,6789,0.0,5043,3381,1648,0.0,0.0,1768,0.0
5,N,20890,18909,17309,12157,10350,13969,8557,0.0,6811,5149,3416,0.0,1768,0.0,0.0
5,O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,A,0.0,0.0,0.0,3911,6040,1945,7955,0.0,9675,11540,13353,0.0,15114,0.0,16619
6,B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,D,3911,0.0,0.0,0.0,2129,1966,4044,0.0,5764,7629,9442,0.0,11203,0.0,12708
6,E,6040,0.0,0.0,2129,0.0,4096,1914,0.0,3634,5499,7313,0.0,9073,0.0,10579
6,F,1945,0.0,0.0,1966,4096,0.0,6010,0.0,7730,9595,11408,0.0,13169,0.0,14675
6,G,7955,0.0,0.0,4044,1914,6010,0.0,0.0,1720,3585,5398,0.0,7159,0.0,8665
6,H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,I,9675,0.0,0.0,5764,3634,7730,1720,0.0,0.0,1865,3678,0.0,5439,0.0,6945
6,J,11540,0.0,0.0,7629,5499,9595,3585,0.0,1865,0.0,1813,0.0,3574,0.0,5080
6,K,13353,0.0,0.0,9442,7313,11408,5398,0.0,3678,1813,0.0,0.0,1761,0.0,3266
6,L,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,M,15114,0.0,0.0,11203,9073,13169,7159,0.0,5439,3574,1761,0.0,0.0,0.0,1506
6,N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,O,16619,0.0,0.0,12708,10579,14675,8665,0.0,6945,5080,3266,0.0,1506,0.0,0.0
7,A,0.0,0.0,0.0,3742,5730,1849,7632,9173,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,D,3742,0.0,0.0,0.0,1988,1893,3890,5431,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,E,5730,0.0,0.0,1988,0.0,3881,1902,3442,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,F,1849,0.0,0.0,1893,3881,0.0,5783,7324,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,G,7632,0.0,0.0,3890,1902,5783,0.0,1540,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,H,9173,0.0,0.0,5431,3442,7324,1540,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,I,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,J,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,K,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,L,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,M,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,A,0.0,1673,3465,13739,15502,12057,17260,0.0,19471,21369,23015,0.0,24844,0.0,26587
8,B,1673,0.0,1792,12066,13829,10384,15587,0.0,17798,19696,21342,0.0,23171,0.0,24914
8,C,3465,1792,0.0,10274,12037,8592,13795,0.0,16006,17904,19550,0.0,21379,0.0,23123
8,D,13739,12066,10274,0.0,1762,1682,3521,0.0,5732,7630,9276,0.0,11105,0.0,12848
8,E,15502,13829,12037,1762,0.0,3445,1758,0.0,3970,5867,7514,0.0,9342,0.0,11086
8,F,12057,10384,8592,1682,3445,0.0,5203,0.0,7414,9312,10958,0.0,12787,0.0,14530
8,G,17260,15587,13795,3521,1758,5203,0.0,0.0,2211,4109,5755,0.0,7584,0.0,9327
8,H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,I,19471,17798,16006,5732,3970,7414,2211,0.0,0.0,1898,3544,0.0,5373,0.0,7116
8,J,21369,19696,17904,7630,5867,9312,4109,0.0,1898,0.0,1646,0.0,3475,0.0,5218
8,K,23015,21342,19550,9276,7514,10958,5755,0.0,3544,1646,0.0,0.0,1829,0.0,3572
8,L,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,M,24844,23171,21379,11105,9342,12787,7584,0.0,5373,3475,1829,0.0,0.0,0.0,1743
8,N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,O,26587,24914,23123,12848,11086,14530,9327,0.0,7116,5218,3572,0.0,1743,0.0,0.0
9,A,0.0,0.0,0.0,3655,5433,1741,7254,9202,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,D,3655,0.0,0.0,0.0,1778,1913,3599,5547,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,E,5433,0.0,0.0,1778,0.0,3691,1821,3769,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,F,1741,0.0,0.0,1913,3691,0.0,5513,7461,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,G,7254,0.0,0.0,3599,1821,5513,0.0,1948,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,H,9202,0.0,0.0,5547,3769,7461,1948,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,I,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,J,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,K,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,L,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,M,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,A,0.0,0.0,0.0,3358,5077,1831,6958,8785,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,D,3358,0.0,0.0,0.0,1720,1527,3600,5427,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,E,5077,0.0,0.0,1720,0.0,3247,1881,3708,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,F,1831,0.0,0.0,1527,3247,0.0,5127,6954,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,G,6958,0.0,0.0,3600,1881,5127,0.0,1827,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,H,8785,0.0,0.0,5427,3708,6954,1827,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,I,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,J,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,K,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,L,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,M,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,A,0.0,1541,3072,8755,10523,6795,12386,14127,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,B,1541,0.0,1531,7214,8982,5255,10845,12586,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,C,3072,1531,0.0,5683,7451,3724,9314,11055,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,D,8755,7214,5683,0.0,1768,1960,3631,5372,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,E,10523,8982,7451,1768,0.0,3728,1863,3604,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,F,6795,5255,3724,1960,3728,0.0,5591,7331,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,G,12386,10845,9314,3631,1863,5591,0.0,1741,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,H,14127,12586,11055,5372,3604,7331,1741,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,I,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,J,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,K,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,L,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,M,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,A,0.0,0.0,0.0,3845,5517,2027,7246,8884,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,D,3845,0.0,0.0,0.0,1672,1817,3401,5040,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,E,5517,0.0,0.0,1672,0.0,3489,1729,3368,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,F,2027,0.0,0.0,1817,3489,0.0,5218,6857,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,G,7246,0.0,0.0,3401,1729,5218,0.0,1639,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,H,8884,0.0,0.0,5040,3368,6857,1639,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,I,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,J,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,K,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,L,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,M,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,A,0.0,0.0,0.0,3644,5442,1933,7272,0.0,9235,11014,0.0,12943,14389,0.0,16279
13,B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,D,3644,0.0,0.0,0.0,1799,1710,3628,0.0,5591,7370,0.0,9299,10746,0.0,12635
13,E,5442,0.0,0.0,1799,0.0,3509,1829,0.0,3792,5571,0.0,7500,8947,0.0,10836
13,F,1933,0.0,0.0,1710,3509,0.0,5338,0.0,7301,9080,0.0,11009,12456,0.0,14345
13,G,7272,0.0,0.0,3628,1829,5338,0.0,0.0,1963,3742,0.0,5671,7118,0.0,9007
13,H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,I,9235,0.0,0.0,5591,3792,7301,1963,0.0,0.0,1779,0.0,3708,5155,0.0,7044
13,J,11014,0.0,0.0,7370,5571,9080,3742,0.0,1779,0.0,0.0,1929,3376,0.0,5265
13,K,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,L,12943,0.0,0.0,9299,7500,11009,5671,0.0,3708,1929,0.0,0.0,1447,0.0,3336
13,M,14389,0.0,0.0,10746,8947,12456,7118,0.0,5155,3376,0.0,1447,0.0,0.0,1889
13,N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,O,16279,0.0,0.0,12635,10836,14345,9007,0.0,7044,5265,0.0,3336,1889,0.0,0.0
14,A,0.0,0.0,0.0,3574,5258,1589,7090,0.0,8859,10555,0.0,12393,14380,0.0,16172
14,B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,D,3574,0.0,0.0,0.0,1684,1985,3516,0.0,5285,6981,0.0,8819,10806,0.0,12598
14,E,5258,0.0,0.0,1684,0.0,3669,1832,0.0,3601,5297,0.0,7135,9122,0.0,10914
14,F,1589,0.0,0.0,1985,3669,0.0,5502,0.0,7270,8966,0.0,10804,12792,0.0,14584
14,G,7090,0.0,0.0,3516,1832,5502,0.0,0.0,1768,3465,0.0,5303,7290,0.0,9082
14,H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,I,8859,0.0,0.0,5285,3601,7270,1768,0.0,0.0,1696,0.0,3534,5522,0.0,7314
14,J,10555,0.0,0.0,6981,5297,8966,3465,0.0,1696,0.0,0.0,1838,3826,0.0,5618
14,K,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,L,12393,0.0,0.0,8819,7135,10804,5303,0.0,3534,1838,0.0,0.0,1987,0.0,3779
14,M,14380,0.0,0.0,10806,9122,12792,7290,0.0,5522,3826,0.0,1987,0.0,0.0,1792
14,N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,O,16172,0.0,0.0,12598,10914,14584,9082,0.0,7314,5618,0.0,3779,1792,0.0,0.0
15,A,0.0,0.0,0.0,3539,5231,1680,7049,9138,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,D,3539,0.0,0.0,0.0,1692,1859,3510,5599,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,E,5231,0.0,0.0,1692,0.0,3551,1818,3907,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,F,1680,0.0,0.0,1859,3551,0.0,5369,7458,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,G,7049,0.0,0.0,3510,1818,5369,0.0,2089,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,H,9138,0.0,0.0,5599,3907,7458,2089,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,I,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,J,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,K,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
